Js=https://clonglii.serv00.net/user_data/youtube020.js?t=1719035247000
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Decoder=3

📺台灣新聞,#genre#
TVBS HD,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv073
TVBS HD,http://37.27.111.214:8080/live/23/hls.m3u8
TVBS HD,http://211.72.65.236:8575/.m3u8
TVBS HD,http://125.227.210.55:8188/VideoInput/play.ts
TVBS HD,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS HD,http://50.7.234.10:8278/tvbs/playlist.m3u8?tid=MEFE3093330530933305&ct=19249&tsum=ce6b5e9293b3618104ad53084745a223
TVBS HD,mitv://135.148.104.228:19806/9e185dd6c7dd46edb5a7d675e4fca701
TVBS HD,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS 56臺,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8575/.m3u8
TVBS NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV82.m3u8
TVBS NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS新聞台,http://125.227.210.55:8186/VideoInput/play.ts
TVBS新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv072
TVBS新聞台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv072
TVBS新聞台,http://50.7.234.10:8278/tvbs_n/playlist.m3u8?tid=MC3C9358473393584733&ct=19193&tsum=38970ab977b9e318cbead37db4134eb8
TVBS新聞台,http://211.72.65.236:8574/.m3u8
TVBS新聞台,rtmp://f13h.mine.nu/sat/tv551
TVBS新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
TVBS新聞（p2p）,P2p://generationnexxxt.com:19806/53f80a10fb054d5ab0649a59980025a9
TVBS新聞（p2p）,P2p://generationnexxxt.com:19806/65fa6dc600095b662a8020fe14c65804
TVBS新聞（p2p）,P2p://generationnexxxt.com:19806/bb6082c57bae466b9e6c64ba43f2c1e1
#P2p://generationnexxxt.com:19806/53f80a10fb054d5ab0649a59980025a9
TVBS新聞（p2p）,rtmp://f13h.mine.nu/sat/tv551
非凡商業台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8545/.m3u8
非凡商業台,https://litv.zapi.us.kg/?id=4gtv-4gtv048
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
非凡新聞,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?tid=m050e7aad65f614336734&ct=17874&tsum=4ea1b829d195ac69a6c2ca51b21ae378
非凡新聞,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?tid=MFDF6578546865785468&ct=19249&tsum=bbb5f2ee12e8ae89846875a83db08997
非凡新聞,http://50.7.234.10:8278/feifannews_twn/playlist.m3u8?tid=ME3E6962233269622332&ct=19225&tsum=eea4d84db71e12ba91bfcf328f4dec9d
非凡新聞,http://38.46.221.138:80/play/bP3gOc5Zx4Ta2V7BzZrTKr2WwbVdHJVIKKK705vhaXY/.m3u8
非凡新聞,http://23.26.239.95:3599/xsj.php?id=unique-business-news
非凡新聞,http://rjy.x3322.net:5000/litv/4gtv-4gtv010
非凡新闻台（p2p）,mitv://135.148.104.228:19806/3d7f2e1d0e04407ba29c656092041b09
非凡新闻台（p2p）,mitv://135.148.104.228:19806/a404066e65af4566931c773a385ed1e3
非凡新闻台（p2p）,mitv://generationnexxxt.com:19806/02f80f7aad2c480992e06e1bd8a7facb
非凡新闻台（p2p）,P2p://generationnexxxt.com:19806/02f80f7aad2c480992e06e1bd8a7facb
東森財經新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
東森財經新聞台,http://rjy.x3322.net:5000/litv/4gtv-4gtv153
東森財經新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv153
東森財經新聞台,http://50.7.234.10:8278/ettvcaijing_twn/playlist.m3u8?tid=MB8B2069463920694639&ct=19249&tsum=05ff51a1b274ce7d31d05bbf11df18ad
東森財經新聞台,http://50.7.234.10:8278/ettvcaijing_twn/playlist.m3u8?tid=m999b5a0f7fca17599138&ct=17874&tsum=345085d2d6d4401fdb3da968dfee5a54
東森財經新聞台,http://211.72.65.236:8546/.m3u8
東森財經新聞台,http://50.7.234.10:8278/ettvcaijing_twn/playlist.m3u8?tid=MD5D9010164090101640&ct=19225&tsum=cc229773020f89af853b23d81e0e6371
東森財經新聞台,http://23.26.239.95:3599/xsj.php?id=ebc-finance
東森財經新聞(P2p),mitv://generationnexxxt.com:19806/9193e5efd94f4991ba8bfbc98bdc3f19
東森財經新聞(P2p),P2p://generationnexxxt.com:19806/5634f613b7f84f81a5c56a6af4311d57
東森財經新聞(P2p),P2p://generationnexxxt.com:19806/6596322e000d4091a2f7138e424b32c5
東森財經新聞(P2p),rtmp://f13h.mine.nu/sat/tv571
東森新聞,http://rjy.x3322.net:5000/litv/4gtv-4gtv152
東森新聞,https://www.4gtv.tv/channel/4gtv-4gtv152?set=1&ch=292
東森新聞,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
東森新聞,https://stream1.freetv.fun/cc12094e587ba5c0817931b093c74ad6ca7f3f13394b1986dc1aaf6c201f8499.ctv
東森新聞,http://50.7.234.10:8278/ettvnews/playlist.m3u8?tid=m1785954e5a67&ct=18336&tsum=ce82c650c85a63fe1ead9e30f2d4bfb4
東森新聞,http://50.7.234.10:8278/ettvnews/playlist.m3u8?tid=MD8D8672451386724513&ct=19234&tsum=d08fdb1dd5078503ffd859a065bc9290
东森新闻台(P2p),P2p://generationnexxxt.com:19806/311e31668d704df7ade8a4d5e745d49b
东森新闻台(P2p),P2p://generationnexxxt.com:19806/35983e2efd5c44bf84bfb2977bbbc96d
东森新闻台(P2p),P2p://generationnexxxt.com:19806/e1a899eded4d48578084c61957fb8c2b
东森新闻台(P2p),P2p://generationnexxxt.com:19806/e9f96143b31a4e869309a60c27c66bc4
